ФИО-ИНН-Адрес регистрации-Сумма уплаченного налога за текущий год
Сербинова Алена Романовна-854157611995-п. Анива, ш. Машиностроителей, д. 9/3, 106638-127687.02
Постникова Алёна Никитична-609720935059-д. Шерегеш, наб. Курганная, д. 54 стр. 2, 784633-149435.08
Висковская Алла Аркадьевна-861019579974-с. Нефтекамск, пер. Мельничный, д. 44 стр. 7/1, 865986-3309.78
Ханифеев Павел Иванович-745882009088-п. Ревда (Сверд.), ул. Баумана, д. 291 стр. 1, 447473-115487.3
Тинькова Вера Андреевна-893260980655-д. Партизанск, алл. Краснознаменная, д. 802 к. 11, 839709-49780.27
Коровалова Светлана Игоревна-34380485958-с. Выборг, пр. Полевой, д. 84, 013972-146336.11
Хатеев Анатолий Павлович-232246060528-п. Жиганск, наб. 70 лет Октября, д. 880 к. 6, 604217-18246.2
Алискин Роман Валериевич-514587252209-г. Белорецк, ш. Социалистическое, д. 242 стр. 27, 519047-129396.42
Юленков Леонид Иванович-255104532482-д. Теберда, наб. Рябиновая, д. 9/8 к. 601, 652601-106095.55
Камовников Аркадий Петрович-772612712210-к. Талдом, бул. Лермонтова, д. 9 стр. 784, 329732-121961.01
Даниловцев Владислав Викторович-915670978257-к. Краснокамск, бул. Тургенева, д. 832 к. 38, 695127-56440.34
Вертелина Наталья Евгеньевна-118681648547-п. Рубцовск, пер. Механизаторов, д. 5/7 к. 51, 594531-15954.28
Ирина Анна Кирилловна-72468212500-ст. Онега, наб. Геологов, д. 29, 030159-82988.52
Уфаев Антон Вадимович-283114533632-с. Волгодонск, алл. Пожарского, д. 4/3, 439502-8622.97
Башенова Яна Леонидовна-336582601708-с. Кызыл, бул. Крайний, д. 7 к. 9/1, 460578-114379.67
Бегжанов Эдуард Олегович-466316611943-п. Архыз, ш. Учительское, д. 7/1 стр. 8/7, 199664-18513.67
Кособрюхов Роман Яковлевич-207813511471-д. Нижнекамск, пр. Дзержинского, д. 3/4 стр. 870, 719061-38895.67
Кисаев Григорий Петрович-751542972385-к. Кузнецк, пер. Партизанский, д. 579, 062247-132228.76
Идиятова Катерина Викторовна-283934543363-клх Углич, ш. Речное, д. 28 к. 158, 985335-136547.03
Дивочкина Алина Леонидовна-953396014656-д. Ступино, пр. Кузнецова, д. 66 стр. 68, 353528-49404.63
Садердинов Яков Викторович-9080424735-ст. Новая Игирма, ш. Мелиоративное, д. 2/6, 643930-131981.35
Шомова Елена Кирилловна-154007939346-д. Калининград, алл. Карла Либкнехта, д. 5/9 к. 4, 958992-83663.27
Глушанская Надежда Валерьевна-146632660550-г. Чайковский, ул. Дальняя, д. 1 к. 6, 824738-116655.12
Пандин Виктор Максимович-826588892986-клх Томск, бул. Нефтяников, д. 29 стр. 61, 236194-50412.7
Дрожжов Валентин Тимофеевич-995329197483-клх Листвянка (Иркут.), пер. Проезжий, д. 7 к. 694, 998134-108369.48
Шелепеева Евгения Андреевна-24610766711-д. Светлогорск (Калин.), ш. Смоленское, д. 53 к. 64, 202370-62124.29
Полежаев Игорь Олегович-298636427116-г. Воскресенск, бул. Совхозный, д. 1/4 стр. 936, 563910-96704.66
Солодухин Эдуард Максимович-387781266638-п. Владивосток, наб. Омская, д. 7/3, 756000-76362.61
Брайнин Константин Викторович-837238346784-клх Якша, ул. Подгорная, д. 4 стр. 1/6, 562383-84958.65
Певишева Карина Ивановна-798485507503-к. Тольятти, ш. Жуковского, д. 4/4 к. 3/2, 983454-2958.28
Кирючев Кирилл Виталиевич-333804931981-с. Терскол, ш. Малое, д. 588 к. 6, 422539-56314.84
Слескокова Виолетта Егоровна-466859420447-п. Лабинск, пер. Ленина, д. 1, 783145-43525.01
Дыйканова Галина Аркадьевна-340174856276-г. Нижний Новгород, наб. Титова, д. 864, 393097-6911.9
Муровых Галина Никитична-488881999330-клх Учалы, алл. Шолохова, д. 849 к. 2, 150694-138082.68
Аидарова Лиза Евгеньевна-906303549562-к. Кетченеры, пр. Новый, д. 566, 484971-55746.02
Масткова Алёна Андреевна-120916358497-к. Бузулук, ш. Зеленое, д. 782, 621659-40064.23
Ховрочева Алина Алексеевна-657387465517-клх Череповец, пр. Парижской Коммуны, д. 546, 841377-38979.3
Симдянов Ярослав Вадимович-609024943204-с. Каргополь, пер. Ивановский, д. 4 к. 5, 259528-47092.0
Теричев Виктор Сергеевич-455051653822-клх Дубна, бул. Молодежный, д. 4 к. 9, 777451-92609.16
Макарьина Алёна Андреевна-475177304194-ст. Осташков, пр. Дружбы, д. 68 к. 6, 504802-23904.66
Вендеров Николай Кириллович-449759019250-п. Октябрьский (Башк.), ш. Сахалинское, д. 8 стр. 119, 225591-133271.38
Музеев Илья Иванович-265022631319-п. Томпа, бул. Октябрьский, д. 500, 618380-7781.45
Доханов Артём Юрьевич-952645329154-клх Воронеж, бул. Новостройка, д. 1/4, 875276-134101.11
Копаныгина Катерина Сергеевна-626358005129-клх Железногорск(Курск.), ул. 8-е Марта, д. 9/3 к. 473, 429037-79492.51
Засолкин Эдуард Викторович-840036945914-ст. Кизляр, пер. Запорожский, д. 9 к. 8/3, 233795-97623.93
Говердов Тарас Данилович-212379695149-клх Суздаль, бул. 60 лет СССР, д. 890, 262695-53000.08
Люризов Иван Борисович-332553200671-с. Неплюевка, пр. Калинина, д. 71 к. 806, 471529-61376.76
Слизунов Виктор Андреевич-480622866672-г. Зеленогорск (Ленин.), наб. Лермонтова, д. 4/9 к. 559, 348937-138725.57
Сейфединов Борис Алексеевич-14130121580-к. Мценск, ш. Литейное, д. 3, 509891-126044.28
Тошкараева Дарья Викторовна-633602032795-д. Челюскин, алл. Школьная, д. 5/1 к. 136, 311886-34453.58
Войхамский Артур Василиевич-353832282867-п. Краснотурьинск, наб. К.Маркса, д. 2/4 стр. 675, 509977-139445.0
Люшневская Надежда Ивановна-883719044326-п. Выборг, ш. Дальневосточное, д. 4/6 к. 270, 376370-41692.53
Рущукова Мария Борисовна-569561682188-клх Верхотурье, пер. Маркса Карла, д. 3/2 к. 635, 813717-79093.15
Соколкина Наталья Михайловна-882781648906-д. Элиста, ул. Кошевого, д. 787 стр. 3, 145240-137233.57
Стаженков Анатолий Валериевич-131913985744-с. Муром, пр. 9 мая, д. 667 к. 404, 691696-147369.39
Яньков Дмитрий Николаевич-459152278731-к. Серов, алл. Интернациональная, д. 62, 534396-27684.11
Шкобенев Николай Аркадиевич-494625273164-д. Поярково, алл. Кольцова, д. 50, 939379-104286.48
Домашенков Андрей Кириллович-364599602038-п. Дно, ул. Красноярская, д. 209, 769902-66080.03
Малидбеков Евгений Адамович-254644792098-к. Кондопога, бул. Кубанский, д. 8/5 стр. 56, 327090-12484.33
Кельбедин Валерий Валериевич-421511086847-ст. Тольятти, алл. Культуры, д. 2/7, 116235-31736.86
Аржемова Любовь Вадимовна-506124812415-д. Поронайск, пер. Фадеева, д. 95, 679424-86377.95
Юрашев Дмитрий Денисович-635617265940-д. Балашов, пр. Тракторный, д. 17, 587200-16417.81
Нурижанова Александра Егоровна-310453213736-п. Сасово, бул. Коллективный, д. 2, 684054-67762.94
Зяблев Игорь Антонович-736810626408-г. Щелково, бул. Краснопартизанский, д. 84 стр. 2, 319904-108301.72
Апчинская Дарья Евгеньевна-273071131068-ст. Яшкуль, наб. Халтурина, д. 49, 420382-144559.95
Пытикова Елизавета Яковлевна-709706837352-к. Кировск (Мурм.), пер. Тюленина, д. 2 стр. 770, 706478-135320.49
Долзина Мария Ивановна-105769201344-г. Геленджик, наб. Дальняя, д. 6/5 к. 8/3, 889430-103438.27
Чернов Кирилл Иванович-169285498012-г. Можайск, пр. Набережный, д. 32 стр. 48, 349624-91768.34
Подлипалин Анатолий Аркадиевич-843185293901-п. Углич, пер. Высокий, д. 690 к. 30, 215527-46927.87
Палтусов Вадим Максимович-692423298438-п. Новгород Великий, бул. Сосновый, д. 76 к. 45, 121575-116361.15
