ФИО-ИНН-Адрес регистрации-Сумма уплаченного налога за текущий год
"Абадаева Виолетта Егоровна-875010043378-п. Байкальск, алл. Фурманова, д. 171 к. 48, 882503-96885.88"
"Абаджева Алиса Сергеевна-924443191821-г. Кыштым, алл. Докучаева, д. 3 к. 1/1, 094488-2052.01"
"Абаева Алёна Яковлевна-697415660817-г. Усинск, наб. Торговая, д. 92 стр. 4/1, 848745-109900.41"
"Абажаев Виктор Иванович-913994254690-к. Новая Игирма, пр. Олега Кошевого, д. 8/9 стр. 4, 210795-97287.64"
"Абакин Андрей Борисович-324225439063-г. Оленегорск (Якут.), наб. Снежная, д. 585 к. 30, 427039-55228.25"
"Абаков Роман Юрьевич-319628760331-с. Чехов, бул. Пограничный, д. 44, 580038-56946.0"
"Абаксин Герасим Яковлевич-162362861459-ст. Анадырь, ш. Западное, д. 87 стр. 333, 431815-27980.57"
"Абакушина Алла Олеговна-558616042012-д. Тырныауз, бул. Макаренко, д. 641 к. 868, 209069-125.71"
"Абалин Борис Юрьевич-290394236559-клх Кизляр, наб. Буденного, д. 63 стр. 763, 574307-40836.62"
"Абалихина Мария Никитична-413248150481-п. Лабытнанги, наб. Мелиоративная, д. 405 к. 11, 029448-145796.83"
"Абанов Виктор Максимович-603226719652-к. Зеленогорск (Ленин.), ш. 70 лет Октября, д. 58 стр. 9, 632062-44895.74"
"Абанов Пётр Юриевич-454364161698-с. Борзя, пр. Степной, д. 73 стр. 4/2, 622830-145010.47"
"Абанова Маргарита Николаевна-932385210555-п. Бирск, пр. Карла Маркса, д. 50, 629007-73000.31"
"Абаньшина Зинаида Дмитриевна-602158911926-п. Кизел, ш. Целинное, д. 634, 179243-40304.26"
"Абапихин Константин Сергеевич-642614235881-г. Меренга, ул. Курская, д. 2/1 стр. 5, 780444-14615.7"
"Абаршалин Иван Борисович-625777102503-д. Южноуральск, пр. Школьный, д. 166, 054827-37606.55"
"Абаршалина Инна Яковлевна-205376759456-с. Октябрьский (Башк.), ш. Озерное, д. 93 стр. 7, 669556-72193.6"
"Абаршев Леонид Виталиевич-334975222777-ст. Петрозаводск, пр. Маркса Карла, д. 4, 139136-121921.05"
"Абарышев Ярослав Михаилович-30781907134-д. Калач, пр. 30 лет Победы, д. 911, 875722-116582.27"
"Абасов Семён Максимович-699595161567-с. Торжок, пер. Герцена, д. 1 стр. 20, 050537-61152.34"
"Абахова Клара Борисовна-806679972881-с. Чайковский, пер. Карбышева, д. 48 к. 1, 936378-66399.29"
"Абашина Виктория Вадимовна-447430641716-клх Каргополь, пр. Невского, д. 487 к. 516, 478174-13864.58"
"Абашкин Георгий Алексиевич-358016123305-клх Амдерма, бул. Совхозный, д. 54 к. 8/9, 311555-9978.29"
"Абашуев Андрей Сергеевич-756483876855-с. Уфа, бул. Максима Горького, д. 63 к. 453, 133102-51201.18"
"Абаясов Борис Борисович-613926258782-п. Туапсе, наб. Российская, д. 610 к. 5, 563753-84278.18"
"Аббакумова Мария Борисовна-570575201471-г. Щелково, пер. Сенной, д. 7/3 стр. 1/8, 089926-119836.81"
"Аббесов Альберт Кириллович-401867021180-п. Петропавловск-Камчатский, наб. Покровская, д. 3 стр. 83, 942376"
"Аббязова Алина Михайловна-403779730648-п. Волхов, наб. Верхняя, д. 885, 727840-59930.98"
"Абгалина Наталья Евгеньевна-43528081294-ст. Курганинск, алл. Сахалинская, д. 354 стр. 7, 442011-129957.46"
"Абгашина Ева Эдуардовна-957374777441-ст. Обнинск, ш. Космонавтов, д. 3 стр. 422, 394120-63914.78"
"Абдиримова София Ивановна-779373592946-п. Губаха, ш. Московское, д. 2, 879358-54171.78"
"Абдокова Елена Валерьевна-598420280610-к. Рославль, ш. Толстого, д. 6/3 к. 24, 246473-26549.43"
"Абдраков Василий Юриевич-443043922930-с. Невьянск, алл. Урицкого, д. 9/5, 125686-83325.51"
"Абдрафиков Денис Юриевич-208631636081-клх Бронницы, пер. Докучаева, д. 5 к. 51, 189939-132628.87"
"Абдулаев Максим Олегович-914054254369-с. Моздок, наб. Октябрьская, д. 4/2 стр. 1/7, 888540-85408.64"
"Абдулбяров Станислав Аркадиевич-836551022816-с. Торжок, наб. Просторная, д. 75, 228068-147194.1"
"Абдуллаева Лиза Алексеевна-424174478357-г. Шелагонцы, ул. Прибрежная, д. 513 к. 901, 959915-10640.3"
"Абдуллин Степан Алексиевич-608917687490-д. Боровск, ул. Островского, д. 5 к. 89, 055831-115021.57"
"Абдулов Геннадий Сергеевич-606167716470-с. Сунтар, ш. Л.Толстого, д. 686 к. 70, 125048-109870.7"
"Абдулоев Алексей Олегович-719176237560-к. Луга, бул. Ворошилова, д. 981 к. 4/1, 917063-112270.36"
"Абдулхаев Владислав Данилович-940713224823-п. Ербогачен, алл. Лунная, д. 19 к. 166, 740539-59231.16"
"Абдулханов Тарас Антонович-225126838534-д. Инта, наб. Седова, д. 8/1 к. 1/9, 714679-129992.77"
"Абдупбяров Степан Василиевич-950010703737-клх Ейск, алл. Прудовая, д. 1, 637946-66884.75"
"Абелев Михаил Иванович-548550841414-г. Александров, наб. Войкова, д. 116 к. 2/9, 171783-109253.21"
"Абелева Лариса Яковлевна-165092820386-г. Балашиха, ш. Кузнецова, д. 1/8, 251797-82094.49"
"Абеленцева Ксения Петровна-51419692162-д. Красная Поляна, ул. Ярославская, д. 67 стр. 8, 220601-124201.02"
"Абелин Николай Романович-709589995795-ст. Алексин, наб. Воровского, д. 2/8 стр. 62, 465727-84616.69"
"Аберков Максим Евгеньевич-245982468326-клх Зеленоград, ул. Олимпийская, д. 3/8 стр. 265, 489812-44982.87"
"Аберхаева Полина Вадимовна-10574423899-п. Мезень, пер. Овражный, д. 8, 204869-111597.74"
"Абзалилова Анна Николаевна-73462115869-клх Колпашево, пр. Черемуховый, д. 5 к. 440, 809706-115891.71"
"Абзялова Виктория Викторовна-138123215622-к. Малая Вишера, наб. Олимпийская, д. 1/6 к. 315, 617428-114768.91"
"Абигаев Герасим Кириллович-900706903882-клх Тулун, алл. Тельмана, д. 798 к. 981, 515419-118836.8"
"Абидалина Валерия Богдановна-868262317798-к. Цимлянск, ул. Инженерная, д. 600, 480584-57389.38"
"Абидинов Кирилл Романович-601536250190-п. Сибай, наб. Рылеева, д. 898, 568455-23253.16"
"Абидулов Федор Юрьевич-468016652093-д. Новороссийск, бул. Тупиковый, д. 944 к. 2/8, 574700-117646.61"
"Абизова Алиса Валерьевна-349546902174-ст. Домбай, ул. Коммунальная, д. 6 к. 3/5, 879907-60987.5"
"Абилев Кирилл Борисович-660119515485-п. Сибай, наб. Щорса, д. 6/3, 507549-46006.28"
"Абилев Тарас Евгеньевич-565840418324-г. Мураши, наб. Слободская, д. 5/9, 755427-57170.11"
"Абишев Никита Викторович-680404814973-с. Дубна, пер. Пушкина, д. 5/7, 287437-33003.32"
"Абишева Виолетта Борисовна-524478116454-п. Забайкальск, ш. Маркса, д. 2 стр. 665, 797539-86317.39"
"Абламов Владислав Романович-756829122956-с. Качканар, ул. Трудовая, д. 1/5 к. 8/5, 319255-9048.98"
"Аблизина Александра Евгеньевна-797353137164-п. Ахтубинск, бул. Щетинкина, д. 250, 554655-31165.02"
"Аблисимова Александра Эдуардовна-47782260372-д. Переславль-Залесский, ш. Морское, д. 2/2 стр. 1/2, 684126"
"Абложнов Дмитрий Алексеевич-637075822196-г. Октябрьское (Хант.), ш. Набережное, д. 5/7 к. 4, 651458-2059.05"
"Аблязина Лиза Никитична-209396423278-клх Любань, ш. Сосновое, д. 5, 878520-63087.53"
"Аблязова Раиса Федоровна-906245529792-г. Гатчина, бул. Нагорный, д. 6 стр. 9, 134551-20596.07"
"Аблясова Клавдия Игоревна-545168157828-п. Йошкар-Ола, ш. Профсоюзное, д. 614 к. 794, 640111"
"Абмаева Жанна Федоровна-5041487073-г. Верещагино (Перм.), бул. Омский, д. 40, 949351-61536.76"
"Абмаева Зинаида Петровна-444265035892-д. Артем, алл. Кошевого, д. 3 к. 9, 602379-95014.63"
"Абмаева Клавдия Дмитриевна-998446329322-г. Уфа, бул. Толстого, д. 4, 471509-88942.77"
"Абморшева Раиса Михайловна-525249813209-к. Новокузнецк, пер. Кольцевой, д. 88 к. 388, 430060-93335.53"
"Абнетдинов Аркадий Евгеньевич-22608999764-клх Черусти, алл. Красноярская, д. 523 стр. 2/3, 353918-15003.92"
"Абов Никита Борисович-433661939433-с. Партизанск, ул. Белорусская, д. 55 к. 53, 296942-33527.96"
"Абовский Валентин Вадимович-479736030280-клх Дивногорск, ш. Котовского, д. 4/1 к. 5, 789316-122288.86"
"Абоева Ева Дмитриевна-932932202077-д. Коломна, пер. Чайкиной, д. 93 стр. 91, 186154-97634.71"
"Абоймова София Вадимовна-499005408519-ст. Байкальск, ул. Кедровая, д. 655 стр. 4, 591681-29157.54"
"Аболдов Владимир Кириллович-42754239935-п. Кондопога, пр. Краснознаменный, д. 1/5 стр. 139, 880491-27308.33"
"Аболеев Юрий Борисович-741407203181-с. Сарапул, алл. Совхозная, д. 2/1 стр. 9, 919522-98432.27"
"Аболеева Александра Василевна-805405243860-д. Шатки, наб. Шахтерская, д. 1 к. 7, 064720-51254.84"
"Аболемов Тарас Денисович-298917801386-г. Новый Уренгой, пер. Российский, д. 3/3 к. 9, 571272-124036.84"
"Аболенкина Марина Кирилловна-907023075327-п. Туапсе, алл. Курская, д. 916 стр. 86, 304559-55394.85"
"Аболенский Андрей Михаилович-356766684238-ст. Славгород, бул. Дорожников, д. 823, 246772-76919.26"
"Аболешин Пётр Антонович-443710963840-к. Александровск-Сахалинский, пр. Нижний, д. 87 стр. 3/2, 461082"
"Аболмасова Виктория Максимовна-86996767772-к. Ахтубинск, наб. Воронежская, д. 3 к. 753, 463412-75882.16"
"Аболтин Ярослав Алексиевич-415509471254-п. Новый Оскол, алл. Рылеева, д. 77 к. 47, 869106-3578.6"
"Абольников Леонид Аркадиевич-935687635435-г. Якутск, наб. Смирнова, д. 3, 526768-79870.78"
"Абольников Максим Борисович-981489410801-п. Шелагонцы, пер. Смирнова, д. 1/4 к. 8/8, 618790-33951.74"
"Аболяева Мария Романовна-145695209598-клх Нерчинск, пер. Луговой, д. 5/5 стр. 19, 419515-39995.12"
"Аботнина Ирина Николаевна-643011428136-г. Данков, пер. Халтурина, д. 1/6, 306521-128916.05"
"Абражеева Жанна Яковлевна-925313394863-к. Нижнеудинск, ш. Чайковского, д. 2, 717776-97453.33"
"Абражеева Инна Богдановна-447675040432-ст. Белый Яр (Томск.), пр. Черняховского, д. 62 к. 36, 470441-29407.51"
"Абракимов Роман Михаилович-64697364708-к. Руза, ул. Санаторная, д. 5/1 к. 261, 398950-27338.68"
"Абрамкин Геннадий Антонович-563996861705-с. Нарым, ш. Сурикова, д. 515, 785422-86835.42"
"Абрамцова Зинаида Сергеевна-104891381762-клх Когалым, алл. 8 Марта, д. 91 стр. 77, 905556-86526.53"
"Абрамчев Яков Борисович-448487846466-клх Губкинский, пер. Снежный, д. 1 к. 4/5, 424866-119344.12"
"Абрамчиков Валентин Адамович-647137867877-клх Сосногорск, наб. Вишневая, д. 71, 365946-68129.09"
"Абрасева Клавдия Игоревна-269540323038-с. Юрьев-Польский, ул. Ветеранов, д. 33, 692771"
"Абрасокин Анатолий Максимович-400991311558-к. Тавда, пер. Молодежный, д. 8/1 к. 203, 065733-71297.39"
"Абратюнов Степан Тимофеевич-82927106663-ст. Краснокамск, ш. Чайковского, д. 9, 623469-82081.65"
"Абрахманов Евгений Романович-535256864374-клх Назрань, пер. Космодемьянской, д. 72 стр. 87, 995973-59481.15"
