ФИО-ИНН-Адрес регистрации-Сумма уплаченного налога за текущий год
"Абаджева Валентина Сергеевна-31971211683-ст. Урюпинск, пр. Победы, д. 9 стр. 4/6, 011019-22500.61"
"Абадулина Ксения Игоревна-146418832314-п. Нерчинск, бул. Главный, д. 6/9, 011204-28207.75"
"Абайтов Артур Леонидович-499703126796-г. Майкоп, пр. Производственный, д. 582, 611867-51670.11"
"Абаксин Василий Борисович-839025044326-к. Тутончаны, пер. Подгорный, д. 6 к. 4, 889719-141317.94"
"Абакушина Галина Евгеньевна-772720832843-д. Новая Игирма, наб. Пионерская, д. 1 стр. 5/3, 016379-122790.15"
"Абаленкин Леонид Кириллович-559717914626-г. Ирбит, наб. Мира, д. 3/3 к. 4/5, 487172-77193.65"
"Абаничев Артём Яковлевич-838871506562-к. Верхнее Пенжино, пр. Клубный, д. 70, 843766-23309.32"
"Абанкина Тамара Николаевна-952636201943-ст. Палана, пр. Свердлова, д. 242 к. 3, 229471-55798.39"
"Абанова Ирина Николаевна-560963391625-с. Шумиха, алл. Трактовая, д. 5/8, 904517-118559.97"
"Абаулина Наталья Василевна-588505235794-ст. Нягань, ш. Краснопартизанское, д. 57, 267066-135093.73"
"Абачева Марина Игоревна-719098601874-с. Аршан (Бурят.), наб. Чайкиной, д. 520, 939192-149131.56"
"Абашцева Евгения Олеговна-160513220892-ст. Шадринск, ш. Жданова, д. 2 к. 5/9, 539649-101918.29"
"Аббасова Анастасия Алексеевна-320394584545-клх Витим, бул. Донской, д. 7 стр. 5, 119495-138750.15"
"Аббялова Вера Никитична-854924567456-клх Ноябрьск, бул. Семашко, д. 35, 616219-79518.78"
"Абгарова Раиса Богдановна-549054753591-с. Кущевская, ул. Украинская, д. 63 стр. 341, 974576-44995.64"
"Абдалкина Елена Василевна-167259676059-д. Оха, пер. О.Кошевого, д. 7/4 стр. 8/2, 214121-43521.55"
"Абдракова Катерина Ивановна-604290512436-к. Озеры, пер. Володарского, д. 22, 124383-68136.87"
"Абдрашитов Павел Игоревич-534261437496-г. Грозный, пр. Автомобилистов, д. 6 стр. 779, 104214-62075.81"
"Абдрихимов Антон Данилович-826026900345-п. Сорочинск, пер. Красногвардейский, д. 3 к. 4, 386129-121542.98"
