ФИО-ИНН-Адрес регистрации-Сумма уплаченного налога за текущий год
"Абакумкин Герасим Виталиевич-165821482686-п. Нефтекамск, ул. Харьковская, д. 466 к. 1, 057275-27103.79"
"Абакушина Елена Яковлевна-717376075136-ст. Азов (Рост.), ш. Курское, д. 811, 248003-110074.42"
"Абашев Владимир Василиевич-739274732933-ст. Юрюзань, наб. Элеваторная, д. 5 к. 6, 918130-112762.1"
"Абелев Пётр Андреевич-66683072015-г. Смоленск, алл. Морозова, д. 175 стр. 92, 666698-90275.51"
"Абрядина Яна Эдуардовна-561191644477-г. Великий Устюг, пер. Подстанция, д. 983 стр. 2/5, 190139-44643.79"
"Абышкина Ксения Ивановна-225295958218-п. Коломна, ул. Московская, д. 54 к. 836, 163255-25955.84"
"Авдееева Зинаида Василевна-564240091242-д. Калач, ул. Горького, д. 2, 316787-8192.52"
"Авдюшев Федор Алексиевич-841892902315-к. Шерегеш, ул. Авиационная, д. 3 к. 29, 387779-75775.26"
"Аверенкова Карина Вадимовна-182224859601-к. Новороссийск, бул. Заречный, д. 12 стр. 852, 732313-67629.35"
"Аверкиев Яков Фёдорович-364394003929-к. Прохладный, пр. Вольный, д. 491 к. 121, 721328-118742.37"
"Ависов Иван Георгиевич-295590488850-п. Приозерск, пр. Береговой, д. 36, 874555-21023.0"
"Авсарагова Алиса Евгеньевна-954647163143-клх Усть-Кулом, бул. Тополиный, д. 75, 673156"
"Авусева Наталия Ивановна-698525655563-с. Челюскин, ул. Зои Космодемьянской, д. 5, 858218-139180.47"
"Авхачев Виталий Петрович-596511717496-с. Эльтон, ул. Маяковского, д. 11 стр. 153, 240383-64876.03"
"Авхачев Геннадий Алексеевич-771157831494-ст. Амдерма, бул. Тракторный, д. 1/1 стр. 48, 949866-84395.59"
"Авшанова Вера Петровна-640677061165-к. Миасс, пр. Киевский, д. 13, 328020-14178.05"
"Агадюкова Лиза Алексеевна-259902340722-клх Аргаяш, бул. Курганный, д. 71 стр. 42, 720791-124190.55"
"Аганесова Людмила Сергеевна-712172903985-ст. Коломна, бул. Пригородный, д. 8 к. 2/6, 704595-78449.9"
"Агафина Анастасия Максимовна-353023855732-клх Нефтеюганск, ул. Ленинская, д. 8 стр. 5, 176657-78875.64"
"Агеечев Вадим Алексиевич-969087415786-с. Байкальск, алл. 9 Января, д. 7 к. 229, 102001-134167.0"
"Агламазов Иван Алексеевич-702577245028-к. Фатеж, пр. Таманский, д. 490, 293340-91863.29"
"Аглямова Оксана Михайловна-22522154520-ст. Прохладный, пр. Заозерный, д. 13, 473373-113870.74"
"Агузаров Яков Юрьевич-101490637522-ст. Рославль, бул. Минский, д. 5, 643438-57051.85"
"Адасова Клавдия Андреевна-957617576342-п. Сусуман, алл. Заречная, д. 1 стр. 3, 699227-64844.09"
"Аджоева Алёна Сергеевна-553983621427-ст. Сковородино, пр. Спартака, д. 197 к. 27, 087043-55005.36"
"Адикаева Марина Алексеевна-885627063707-с. Волоколамск, алл. Выгонная, д. 276 к. 667, 973441-85020.54"
"Адин Василий Игоревич-374892433534-с. Дербент, пр. Монтажников, д. 56, 243781-81868.75"
"Адрианов Герасим Яковлевич-773777875169-с. Ярославль, пр. Донской, д. 585 к. 85, 197664-116245.42"
"Азаронова Ксения Максимовна-543935943572-к. Кемерово, бул. Маяковского, д. 7 стр. 2, 067246-103770.36"
"Азарская Екатерина Егоровна-30510099333-г. Апрелевка, наб. Целинная, д. 3 к. 3/7, 724466-51640.06"
"Азметова Оксана Егоровна-80309479529-г. Билибино, ш. Победы, д. 72 стр. 6/5, 568063-49856.89"
"Азольский Аркадий Леонидович-452283842724-клх Апатиты, бул. Петровский, д. 8 к. 142, 165836-112723.44"
"Азранкин Яков Юриевич-957226037650-г. Махачкала, пер. Свободный, д. 137 стр. 426, 855639-45497.06"
"Аймаков Василий Тимофеевич-511173994870-д. Усть-Баргузин, бул. Васильковый, д. 50, 453708"
"Акацатов Григорий Борисович-499045790090-ст. Курчатов, ул. Свободная, д. 9, 845414-18472.22"
"Акимочкин Аркадий Павлович-422628106593-д. Павловский Посад, наб. Пушкинская, д. 7/7 стр. 1/6, 565024-3287.27"
"Акишова Валентина Вадимовна-725478976480-г. Нарым, пр. Тюленина, д. 53, 930733-46281.55"
"Аксакалов Степан Вадимович-135828995870-клх Адлер, ш. Магистральное, д. 380, 334400-11045.77"
"Аксенцов Олег Яковлевич-717668770288-п. Каргополь, ул. Гастелло, д. 1 стр. 10, 685044-22084.55"
"Аксютов Эдуард Максимович-784532725820-к. Мураши, наб. Высоковольтная, д. 421 стр. 97, 042420-125993.02"
"Акуличев Константин Андреевич-286587083251-клх Апрелевка, наб. Бабушкина, д. 702, 685155-144936.99"
"Аладухова Алена Федоровна-92347178762-г. Усть-Камчатск, ш. Коммунаров, д. 278, 660245"
"Аладышев Андрей Иванович-891683087171-д. Джейрах, ш. Мелиоративное, д. 5/8 к. 4, 579666-12881.99"
"Алалова Наталья Федоровна-630595993083-д. Гагарин, ш. 50 лет ВЛКСМ, д. 5/4 стр. 8, 538766-104301.33"
"Алдышин Дмитрий Адамович-862413647172-к. Губкинский, бул. Плеханова, д. 56 к. 5, 444475-101102.8"
"Алейнина Виктория Дмитриевна-807691004270-г. Славгород, алл. Льва Толстого, д. 9, 644153-58714.66"
"Алекин Григорий Василиевич-495105978044-п. Медногорск, бул. Вокзальный, д. 6/6 стр. 8/3, 573131-80396.0"
"Алексейков Максим Яковлевич-421076881075-ст. Адыгейск, наб. Дорожников, д. 378, 472205-88993.78"
"Алексюнина Жанна Никитична-833867338565-к. Саров (Морд.), пер. Выгонный, д. 944 к. 4/8, 813389-37797.94"
"Алекторова Александра Егоровна-693881957771-п. Шелехов, пер. 50 лет ВЛКСМ, д. 97, 282261-71116.18"
"Алемханова Ева Максимовна-787146017203-клх Тайшет, ш. Петровское, д. 3, 879780-128658.22"
"Алетдинов Борис Аркадиевич-539556254738-п. Челюскин, наб. Бабушкина, д. 277, 569344-28651.31"
"Алетдинов Роман Юриевич-271602312641-д. Анива, бул. Геологический, д. 408 стр. 242, 823402-14506.19"
"Алещопов Валерий Романович-727031814273-г. Гагарин, пер. 8 Марта, д. 34 стр. 9, 250487-111357.29"
"Алиакбаров Евгений Юриевич-997238135819-п. Троицк (Челяб.), алл. Флотская, д. 28, 902934-31643.39"
"Алибасова Оксана Андреевна-426884465670-клх Орехово-Зуево, наб. Просторная, д. 6 к. 292, 110815"
"Алибеков Никита Иванович-594818080700-клх Карталы, ш. Чернышевского, д. 9/5 к. 58, 389672-143119.55"
"Алилуев Андрей Юриевич-110117155564-ст. Обнинск, ш. Котовского, д. 2 стр. 852, 460798-17500.01"
"Алифова Светлана Аркадьевна-764208054389-д. Яшкуль, ш. Гафури, д. 6/8 стр. 9/6, 002529-122078.27"
"Алкина Оксана Олеговна-387086089438-д. Назрань, ул. Попова, д. 9/4 стр. 8, 725975-19844.6"
"Алконов Вячеслав Фёдорович-84707875231-к. Минеральные Воды, ш. Азина, д. 9, 666951-65702.89"
"Алленых Владимир Георгиевич-35569052170-клх Нефтекамск, алл. Челюскинцев, д. 7/5 к. 88, 367327-59713.49"
"Алмазов Валерий Данилович-322491685577-к. Шаховская, пер. Профсоюзный, д. 9, 617443-28220.05"
"Алпотонова Полина Богдановна-686344765650-г. Александров Гай, ш. Журавлева, д. 5 к. 5/3, 587775-93652.24"
"Алтобаева Инна Федоровна-553759408190-п. Лабытнанги, наб. Гафури, д. 59 к. 4/3, 853161-204.96"
"Алтунов Станислав Данилович-150932706941-клх Новомичуринск, пр. Чайковского, д. 20 к. 33, 273573-6971.93"
"Алфутов Владимир Борисович-679509478493-д. Шенкурск, пер. Загородный, д. 2, 995302-28468.52"
"Алшташина Оксана Викторовна-112801215573-п. Середниково, ул. Раздольная, д. 2 к. 7/8, 997865-59866.45"
"Алыков Иван Аркадиевич-453810940462-клх Тырныауз, ш. Социалистическое, д. 37 к. 49, 747143-14545.03"
"Альменеев Тарас Леонидович-962363550180-клх Нягань, пр. Коммуны, д. 80 стр. 1, 734834-4087.32"
"Алявина Елена Егоровна-141247181305-к. Новый Уренгой, ул. Социалистическая, д. 6 к. 67, 563872-68961.66"
"Аляров Яков Алексеевич-949446305416-п. Бугульма, ш. Кошевого, д. 72 стр. 6, 042660-69469.88"
"Амалин Игорь Викторович-847382607439-клх Троицко-Печорск, ул. Металлургов, д. 713 стр. 6/1, 114857"
"Амитин Анатолий Леонидович-563749359132-д. Енисейск, бул. Журавлева, д. 156, 995142-74274.54"
"Амузиков Никита Викторович-615724626670-клх Выборг, наб. Полярная, д. 357 стр. 6, 598464-9284.14"
